,MSOACode,Ischaemic heart diseases,Cerebrovascular diseases,Aortic aneurysm,Diabetes mellitus,Cervical cancer,Renal colic,Other
0,E02001347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,E02001348,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,E02001349,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,E02001350,0.4782608695652174,0.30434782608695654,0.0,0.21739130434782608,0.0,0.0,0.0
4,E02001351,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
5,E02001352,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,E02001353,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,E02001354,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,E02001355,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,E02001356,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,E02001357,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,E02001358,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,E02001359,0.5,0.5,0.0,0.0,0.0,0.0,0.0
13,E02001360,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,E02001361,0.5,0.5,0.0,0.0,0.0,0.0,0.0
15,E02001362,0.5,0.5,0.0,0.0,0.0,0.0,0.0
16,E02001363,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,E02001364,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,E02001365,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0
19,E02001366,0.5,0.5,0.0,0.0,0.0,0.0,0.0
20,E02001367,0.6,0.4,0.0,0.0,0.0,0.0,0.0
21,E02001368,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,E02001369,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,E02001370,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,E02001371,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
25,E02001372,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,E02001373,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,E02001374,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,E02001375,0.5,0.0,0.0,0.5,0.0,0.0,0.0
29,E02001376,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,E02001377,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,E02001378,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0
32,E02001380,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,E02001381,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,E02001382,0.5,0.5,0.0,0.0,0.0,0.0,0.0
35,E02001383,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
36,E02001384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,E02001385,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
38,E02001386,0.5,0.5,0.0,0.0,0.0,0.0,0.0
39,E02001387,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,E02001388,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,E02001389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,E02001390,0.6875,0.0,0.3125,0.0,0.0,0.0,0.0
43,E02001391,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,E02001392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,E02001393,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,E02001394,0.5,0.5,0.0,0.0,0.0,0.0,0.0
47,E02001395,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
48,E02001396,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,E02001397,0.6190476190476191,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
50,E02001398,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,E02001399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,E02001400,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,E02001401,0.5,0.5,0.0,0.0,0.0,0.0,0.0
54,E02001402,0.5,0.5,0.0,0.0,0.0,0.0,0.0
55,E02001403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,E02001404,0.5,0.0,0.5,0.0,0.0,0.0,0.0
57,E02001405,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,E02006932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,E02006933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,E02006934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,E02003258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,E02003259,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,E02003260,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,E02003261,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.0,0.0,0.0,0.0
65,E02003262,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,E02003263,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,E02003264,0.5,0.0,0.0,0.5,0.0,0.0,0.0
68,E02003265,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,E02003266,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,E02003267,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,E02003268,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
72,E02003269,0.6875,0.3125,0.0,0.0,0.0,0.0,0.0
73,E02003270,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
74,E02003271,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,E02003272,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,E02003273,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,E02003274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,E02003275,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,E02003276,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0
80,E02003277,0.5,0.0,0.5,0.0,0.0,0.0,0.0
81,E02003278,0.5,0.5,0.0,0.0,0.0,0.0,0.0
82,E02005068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,E02005069,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,E02005070,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
85,E02005071,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,E02005072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,E02005073,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
88,E02005074,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0
89,E02005075,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
90,E02005076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,E02005077,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,E02005078,0.5238095238095238,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
93,E02005079,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,E02005080,0.5,0.5,0.0,0.0,0.0,0.0,0.0
95,E02005081,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,E02005082,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
97,E02005083,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,E02005084,0.5,0.5,0.0,0.0,0.0,0.0,0.0
99,E02005085,0.5,0.5,0.0,0.0,0.0,0.0,0.0
100,E02005086,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,E02006710,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,E02006711,0.5,0.5,0.0,0.0,0.0,0.0,0.0
103,E02006712,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,E02006713,0.4,0.6,0.0,0.0,0.0,0.0,0.0
105,E02006714,0.6875,0.3125,0.0,0.0,0.0,0.0,0.0
106,E02006715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
