,MSOACode,Lung cancer_count,Ischaemic heart diseases_count,Chronic lower respiratory diseases_count,Cerebrovascular diseases_count,Oesophageal cancer_count,Accidental Injuries_count,Other_count,Lung cancer_prop,Ischaemic heart diseases_prop,Chronic lower respiratory diseases_prop,Cerebrovascular diseases_prop,Oesophageal cancer_prop,Accidental Injuries_prop,Other_prop
0,E02001347,7.0,0.0,5.0,0.0,5.0,0.0,0.0,0.4117647058823529,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0
1,E02001348,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.0,0.0,0.0,0.0
2,E02001349,10.0,6.0,7.0,0.0,0.0,0.0,0.0,0.43478260869565216,0.2608695652173913,0.30434782608695654,0.0,0.0,0.0,0.0
3,E02001350,6.0,5.5,13.0,3.5,0.0,0.0,2.5,0.19672131147540983,0.18032786885245902,0.4262295081967213,0.11475409836065574,0.0,0.0,0.08196721311475409
4,E02001351,7.0,2.5,5.0,3.0,0.0,0.0,0.0,0.4,0.14285714285714285,0.2857142857142857,0.17142857142857143,0.0,0.0,0.0
5,E02001352,6.0,2.5,5.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.0,0.0,0.0,0.0
6,E02001353,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
7,E02001354,7.0,5.0,7.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.0,0.0,0.0,0.0
8,E02001355,5.0,2.5,7.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.1724137931034483,0.4827586206896552,0.0,0.0,0.0,0.0
9,E02001356,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.375,0.3125,0.3125,0.0,0.0,0.0,0.0
10,E02001357,5.0,2.5,7.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.1724137931034483,0.4827586206896552,0.0,0.0,0.0,0.0
11,E02001358,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0
12,E02001359,5.0,2.5,0.0,2.5,0.0,0.0,5.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
13,E02001360,8.0,0.0,7.0,2.5,5.0,0.0,0.0,0.35555555555555557,0.0,0.3111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0
14,E02001361,5.0,2.5,9.0,2.5,0.0,0.0,0.0,0.2631578947368421,0.13157894736842105,0.47368421052631576,0.13157894736842105,0.0,0.0,0.0
15,E02001362,9.0,2.5,8.0,2.5,0.0,0.0,0.0,0.4090909090909091,0.11363636363636363,0.36363636363636365,0.11363636363636363,0.0,0.0,0.0
16,E02001363,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0
17,E02001364,5.0,2.5,9.0,0.0,0.0,0.0,5.0,0.23255813953488372,0.11627906976744186,0.4186046511627907,0.0,0.0,0.0,0.23255813953488372
18,E02001365,7.0,4.5,8.0,5.0,0.0,0.0,5.0,0.23728813559322035,0.15254237288135594,0.2711864406779661,0.1694915254237288,0.0,0.0,0.1694915254237288
19,E02001366,5.0,2.5,5.0,2.5,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
20,E02001367,5.0,7.5,7.0,5.0,0.0,0.0,0.0,0.20408163265306123,0.30612244897959184,0.2857142857142857,0.20408163265306123,0.0,0.0,0.0
21,E02001368,6.0,5.0,5.0,0.0,0.0,0.0,10.0,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.38461538461538464
22,E02001369,12.0,5.5,14.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.1746031746031746,0.4444444444444444,0.0,0.0,0.0,0.0
23,E02001370,12.0,5.0,6.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.21739130434782608,0.2608695652173913,0.0,0.0,0.0,0.0
24,E02001371,7.0,5.0,8.0,2.5,0.0,0.0,0.0,0.3111111111111111,0.2222222222222222,0.35555555555555557,0.1111111111111111,0.0,0.0,0.0
25,E02001372,6.0,2.5,0.0,0.0,5.0,0.0,0.0,0.4444444444444444,0.18518518518518517,0.0,0.0,0.37037037037037035,0.0,0.0
26,E02001373,5.0,0.0,5.0,0.0,0.0,0.0,2.5,0.4,0.0,0.4,0.0,0.0,0.0,0.2
27,E02001374,7.0,3.5,6.0,0.0,0.0,0.0,10.0,0.2641509433962264,0.1320754716981132,0.22641509433962265,0.0,0.0,0.0,0.37735849056603776
28,E02001375,5.0,2.5,7.0,0.0,0.0,0.0,2.5,0.29411764705882354,0.14705882352941177,0.4117647058823529,0.0,0.0,0.0,0.14705882352941177
29,E02001376,10.0,0.0,0.0,2.5,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0
30,E02001377,6.0,7.0,12.0,0.0,0.0,0.0,5.0,0.2,0.23333333333333334,0.4,0.0,0.0,0.0,0.16666666666666666
31,E02001378,8.0,6.5,6.0,2.5,0.0,5.0,0.0,0.2857142857142857,0.23214285714285715,0.21428571428571427,0.08928571428571429,0.0,0.17857142857142858,0.0
32,E02001380,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
33,E02001381,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.0
34,E02001382,5.0,2.5,0.0,2.5,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0
35,E02001383,0.0,5.0,5.0,0.0,0.0,0.0,2.5,0.0,0.4,0.4,0.0,0.0,0.0,0.2
36,E02001384,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.5454545454545454,0.0,0.0,0.0,0.0
37,E02001385,9.0,5.0,5.0,2.5,0.0,0.0,0.0,0.4186046511627907,0.23255813953488372,0.23255813953488372,0.11627906976744186,0.0,0.0,0.0
38,E02001386,8.0,2.5,8.0,2.5,0.0,0.0,0.0,0.38095238095238093,0.11904761904761904,0.38095238095238093,0.11904761904761904,0.0,0.0,0.0
39,E02001387,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
40,E02001388,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
41,E02001389,7.0,0.0,5.0,0.0,0.0,0.0,5.0,0.4117647058823529,0.0,0.29411764705882354,0.0,0.0,0.0,0.29411764705882354
42,E02001390,7.0,5.5,10.0,0.0,0.0,0.0,12.5,0.2,0.15714285714285714,0.2857142857142857,0.0,0.0,0.0,0.35714285714285715
43,E02001391,5.0,5.5,6.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0
44,E02001392,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
45,E02001393,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
46,E02001394,6.0,2.5,5.0,2.5,0.0,0.0,0.0,0.375,0.15625,0.3125,0.15625,0.0,0.0,0.0
47,E02001395,5.0,2.5,0.0,5.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.0
48,E02001396,12.0,2.5,5.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.1282051282051282,0.2564102564102564,0.0,0.0,0.0,0.0
49,E02001397,5.0,6.5,5.0,4.0,0.0,0.0,5.0,0.19607843137254902,0.2549019607843137,0.19607843137254902,0.1568627450980392,0.0,0.0,0.19607843137254902
50,E02001398,6.0,0.0,5.0,2.5,0.0,0.0,0.0,0.4444444444444444,0.0,0.37037037037037035,0.18518518518518517,0.0,0.0,0.0
51,E02001399,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
52,E02001400,0.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.47619047619047616,0.0,0.0,0.0,0.0
53,E02001401,6.0,2.5,5.0,2.5,0.0,5.0,0.0,0.2857142857142857,0.11904761904761904,0.23809523809523808,0.11904761904761904,0.0,0.23809523809523808,0.0
54,E02001402,7.0,2.5,5.0,2.5,0.0,0.0,0.0,0.4117647058823529,0.14705882352941177,0.29411764705882354,0.14705882352941177,0.0,0.0,0.0
55,E02001403,0.0,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.7368421052631579,0.0,0.0,0.0,0.0
56,E02001404,5.0,2.5,7.0,0.0,0.0,0.0,2.5,0.29411764705882354,0.14705882352941177,0.4117647058823529,0.0,0.0,0.0,0.14705882352941177
57,E02001405,14.0,5.0,8.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.18518518518518517,0.2962962962962963,0.0,0.0,0.0,0.0
58,E02006932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,E02006933,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,E02006934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
