MSOACode,lung_count,heart_count,respiratory_count,cerebrovascular_count,oesophageal_count,accident_count,other_count,lung_prop,heart_prop,respiratory_prop,cerebrovascular_prop,oesophageal_prop,accident_prop,other_prop
E02000001,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000002,5,5,6,0,0,0,0,0.3125,0.3125,0.375,0,0,0,0
E02000003,0,3,0,0,0,0,0,0,1,0,0,0,0,0
E02000004,0,5,6,0,0,0,5,0,0.3125,0.375,0,0,0,0.3125
E02000005,6,2.5,5,0,0,0,0,0.444444444,0.185185185,0.37037037,0,0,0,0
E02000007,5,5,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
E02000008,5,4.5,11,0,0,0,0,0.243902439,0.219512195,0.536585366,0,0,0,0
E02000009,5,5,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
E02000010,0,0,5,0,0,0,2.5,0,0,0.666666667,0,0,0,0.333333333
E02000011,0,0,0,2.5,0,0,2.5,0,0,0,0.5,0,0,0.5
E02000012,5,2.5,5,0,0,0,0,0.4,0.2,0.4,0,0,0,0
E02000013,5,2.5,5,0,0,0,2.5,0.333333333,0.166666667,0.333333333,0,0,0,0.166666667
E02000014,5,2.5,5,0,0,0,2.5,0.333333333,0.166666667,0.333333333,0,0,0,0.166666667
E02000015,6,2.5,6,0,0,0,0,0.413793103,0.172413793,0.413793103,0,0,0,0
E02000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000017,5,0,5,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000018,5,0,5,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000019,5,2.5,5,0,0,5,0,0.285714286,0.142857143,0.285714286,0,0,0.285714286,0
E02000020,5,5,6,0,0,0,0,0.3125,0.3125,0.375,0,0,0,0
E02000021,7,0,9,0,5,0,0,0.333333333,0,0.428571429,0,0.238095238,0,0
E02000022,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000023,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000024,7,2.5,0,0,0,0,5,0.482758621,0.172413793,0,0,0,0,0.344827586
E02000025,6,3,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000026,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000027,0,2.5,6,0,0,0,2.5,0,0.227272727,0.545454545,0,0,0,0.227272727
E02000028,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000029,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000030,5,5,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
E02000031,0,3.5,0,0,0,0,5,0,0.411764706,0,0,0,0,0.588235294
E02000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000033,5,0,5,0,0,0,5,0.333333333,0,0.333333333,0,0,0,0.333333333
E02000034,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000035,5,2.5,0,0,0,0,5,0.4,0.2,0,0,0,0,0.4
E02000036,5,5,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
E02000037,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000038,0,4,0,0,0,0,0,0,1,0,0,0,0,0
E02000039,0,3,0,0,0,0,0,0,1,0,0,0,0,0
E02000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000041,6,5,0,2.5,0,0,0,0.444444444,0.37037037,0,0.185185185,0,0,0
E02000042,0,3,5,0,0,0,0,0,0.375,0.625,0,0,0,0
E02000043,0,3,0,0,0,0,5,0,0.375,0,0,0,0,0.625
E02000044,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000045,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000047,8,3,5,0,0,0,0,0.5,0.1875,0.3125,0,0,0,0
E02000048,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000049,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000050,6,2.5,8,0,0,0,0,0.363636364,0.151515152,0.484848485,0,0,0,0
E02000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000052,5,2.5,0,0,0,0,5,0.4,0.2,0,0,0,0,0.4
E02000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000055,5,6,0,2.5,0,0,5,0.27027027,0.324324324,0,0.135135135,0,0,0.27027027
E02000056,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000057,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000058,5,3.5,0,0,0,0,0,0.588235294,0.411764706,0,0,0,0,0
E02000059,5,6.5,5,0,0,0,0,0.303030303,0.393939394,0.303030303,0,0,0,0
E02000060,0,6.5,0,2.5,0,0,0,0,0.722222222,0,0.277777778,0,0,0
E02000061,0,2.5,0,2.5,0,0,5,0,0.25,0,0.25,0,0,0.5
E02000062,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000063,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000064,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000065,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000066,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000067,8,0,0,2.5,0,0,0,0.761904762,0,0,0.238095238,0,0,0
E02000068,5,3.5,5,0,0,0,0,0.37037037,0.259259259,0.37037037,0,0,0,0
E02000069,5,7.5,0,2.5,5,0,0,0.25,0.375,0,0.125,0.25,0,0
E02000070,5,2.5,5,0,5,0,5,0.222222222,0.111111111,0.222222222,0,0.222222222,0,0.222222222
E02000071,5,3,5,0,0,0,0,0.384615385,0.230769231,0.384615385,0,0,0,0
E02000072,5,4,5,0,0,0,0,0.357142857,0.285714286,0.357142857,0,0,0,0
E02000073,10,6,0,0,0,0,0,0.625,0.375,0,0,0,0,0
E02000074,9,5,7,0,0,0,0,0.428571429,0.238095238,0.333333333,0,0,0,0
E02000075,8,2.5,0,0,0,0,5,0.516129032,0.161290323,0,0,0,0,0.322580645
E02000077,0,2.5,5,2.5,0,0,0,0,0.25,0.5,0.25,0,0,0
E02000078,5,3,5,2.5,0,5,0,0.243902439,0.146341463,0.243902439,0.12195122,0,0.243902439,0
E02000079,6,5,5,0,0,0,0,0.375,0.3125,0.3125,0,0,0,0
E02000080,0,2.5,5,2.5,5,0,0,0,0.166666667,0.333333333,0.166666667,0.333333333,0,0
E02000081,5,0,5,2.5,0,0,0,0.4,0,0.4,0.2,0,0,0
E02000082,0,2.5,5,3.5,0,0,0,0,0.227272727,0.454545455,0.318181818,0,0,0
E02000083,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000084,6,3.5,5,0,5,0,0,0.307692308,0.179487179,0.256410256,0,0.256410256,0,0
E02000085,5,2.5,0,2.5,0,0,0,0.5,0.25,0,0.25,0,0,0
E02000086,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0
E02000087,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0
E02000088,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000089,0,3.5,5,2.5,0,0,0,0,0.318181818,0.454545455,0.227272727,0,0,0
E02000090,6,6,7,4.5,0,0,5,0.210526316,0.210526316,0.245614035,0.157894737,0,0,0.175438596
E02000091,5,4,10,2.5,0,0,2.5,0.208333333,0.166666667,0.416666667,0.104166667,0,0,0.104166667
E02000092,6,2.5,6,0,0,0,0,0.413793103,0.172413793,0.413793103,0,0,0,0
E02000093,0,6,0,2.5,0,0,0,0,0.705882353,0,0.294117647,0,0,0
E02000094,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000095,5,2.5,5,0,0,0,0,0.4,0.2,0.4,0,0,0,0
E02000096,5,6,5,0,0,0,0,0.3125,0.375,0.3125,0,0,0,0
E02000097,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000098,5,5,0,0,0,0,3,0.384615385,0.384615385,0,0,0,0,0.230769231
E02000099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000100,0,6,0,0,0,0,0,0,1,0,0,0,0,0
E02000101,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000102,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000103,0,2.5,0,0,0,5,0,0,0.333333333,0,0,0,0.666666667,0
E02000104,5,2.5,0,2.5,0,0,0,0.5,0.25,0,0.25,0,0,0
E02000105,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000107,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000108,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000109,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000110,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000111,0,6,0,0,0,0,0,0,1,0,0,0,0,0
E02000112,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000113,0,3.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000114,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000115,5,2.5,0,2.5,0,0,0,0.5,0.25,0,0.25,0,0,0
E02000116,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000117,5,5,5,2.5,0,0,2.5,0.25,0.25,0.25,0.125,0,0,0.125
E02000118,0,5.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000119,7,5,0,2.5,0,0,5,0.358974359,0.256410256,0,0.128205128,0,0,0.256410256
E02000120,0,3,0,0,0,0,0,0,1,0,0,0,0,0
E02000121,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000122,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000123,0,7.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000124,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000126,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000127,0,2.5,0,0,0,0,2.5,0,0.5,0,0,0,0,0.5
E02000128,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000130,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000132,0,5.5,5,2.5,0,0,0,0,0.423076923,0.384615385,0.192307692,0,0,0
E02000133,5,5,5,2.5,0,0,0,0.285714286,0.285714286,0.285714286,0.142857143,0,0,0
E02000134,5,5.5,5,0,0,0,0,0.322580645,0.35483871,0.322580645,0,0,0,0
E02000135,0,3.5,7,2.5,0,0,2.5,0,0.225806452,0.451612903,0.161290323,0,0,0.161290323
E02000136,5,0,5,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000137,0,5,5,2.5,0,0,0,0,0.4,0.4,0.2,0,0,0
E02000138,6,3,0,0,0,0,2.5,0.52173913,0.260869565,0,0,0,0,0.217391304
E02000139,6,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000140,7,2.5,0,0,0,0,0,0.736842105,0.263157895,0,0,0,0,0
E02000141,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000142,0,3.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000144,5,2.5,0,0,0,0,5,0.4,0.2,0,0,0,0,0.4
E02000145,6,0,6,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000146,5,2.5,5,6,0,0,7.5,0.192307692,0.096153846,0.192307692,0.230769231,0,0,0.288461538
E02000147,0,2.5,0,2.5,0,0,0,0,0.5,0,0.5,0,0,0
E02000148,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000149,0,2.5,6,0,0,0,0,0,0.294117647,0.705882353,0,0,0,0
E02000150,0,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0
E02000151,0,3,0,0,0,0,0,0,1,0,0,0,0,0
E02000152,5,5,6,0,0,0,0,0.3125,0.3125,0.375,0,0,0,0
E02000153,5,5,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
E02000154,6,2.5,0,0,0,0,0,0.705882353,0.294117647,0,0,0,0,0
E02000155,10,2.5,5,0,0,0,0,0.571428571,0.142857143,0.285714286,0,0,0,0
E02000156,7,5.5,5,2.5,0,0,2.5,0.311111111,0.244444444,0.222222222,0.111111111,0,0,0.111111111
E02000157,0,0,5,0,0,0,5,0,0,0.5,0,0,0,0.5
E02000158,5,6,0,0,0,0,0,0.454545455,0.545454545,0,0,0,0,0
E02000159,0,3.5,5,0,0,0,2.5,0,0.318181818,0.454545455,0,0,0,0.227272727
E02000160,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000161,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000162,5,6,5,0,0,0,0,0.3125,0.375,0.3125,0,0,0,0
E02000163,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000165,6,5,0,0,0,0,0,0.545454545,0.454545455,0,0,0,0,0
E02000166,0,2.5,5,2.5,0,0,0,0,0.25,0.5,0.25,0,0,0
E02000167,0,2.5,5,2.5,0,0,0,0,0.25,0.5,0.25,0,0,0
E02000168,5,0,5,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000169,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0
E02000170,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000171,0,5,5,2.5,0,0,0,0,0.4,0.4,0.2,0,0,0
E02000172,5,5,5,0,0,0,5,0.25,0.25,0.25,0,0,0,0.25
E02000173,5,0,0,2.5,0,0,0,0.666666667,0,0,0.333333333,0,0,0
E02000174,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000175,0,2.5,0,0,0,0,5,0,0.333333333,0,0,0,0,0.666666667
E02000176,0,0,5,0,0,0,0,0,0,1,0,0,0,0
E02000177,5,0,5,0,0,0,0,0.5,0,0.5,0,0,0,0
E02000178,0,5,0,0,0,0,10,0,0.333333333,0,0,0,0,0.666666667
E02000179,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000180,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000183,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000184,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000185,5,2.5,7,0,0,0,0,0.344827586,0.172413793,0.482758621,0,0,0,0
E02000186,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000187,7,3,5,0,0,0,0,0.466666667,0.2,0.333333333,0,0,0,0
E02000188,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000189,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000190,5,2.5,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0
E02000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000192,0,2.5,0,0,0,0,5,0,0.333333333,0,0,0,0,0.666666667
E02000193,5,0,0,0,0,0,0,1,0,0,0,0,0,0
E02000194,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0
E02000195,0,4.5,0,0,0,0,2.5,0,0.642857143,0,0,0,0,0.357142857
E02000196,5,5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
E02000197,0,5,0,0,0,0,0,0,1,0,0,0,0,0
E02000198,0,2.5,5,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0
E02000199,5,5,0,2.5,0,0,0,0.4,0.4,0,0.2,0,0,0
E02000200,0,5.5,0,2.5,0,0,0,0,0.6875,0,0.3125,0,0,0
E02000201,5,0,0,2.5,0,0,0,0.666666667,0,0,0.333333333,0,0,0
E02000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
