White,Black,Chinese_Other,Subcont
97,0,2,1
98,0,1,1
98,0,2,1
96,0,2,1
98,0,2,0
98,0,1,1
97,0,2,1
88,1,4,8
96,1,3,1
97,0,2,1
97,0,2,1
95,0,3,2
97,1,2,1
96,0,3,1
98,0,2,0
98,0,1,1
99,0,1,0
98,0,1,1
98,0,1,0
98,0,1,0
99,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
95,0,3,1
94,0,4,2
99,0,1,0
99,0,1,0
98,0,1,0
94,0,5,1
89,1,9,2
93,1,5,1
99,0,1,0
98,0,1,0
96,0,3,1
99,0,1,0
99,0,1,1
98,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
98,0,1,1
99,0,1,0
98,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,2,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
98,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,1
98,0,1,0
94,1,3,3
98,0,1,1
94,1,3,3
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,1
56,4,15,25
92,1,4,3
72,5,11,12
97,1,2,0
81,1,6,13
90,1,4,5
97,1,2,0
92,1,4,4
79,1,7,14
97,1,2,0
91,1,4,4
91,1,2,7
88,0,2,9
93,1,3,3
96,0,2,2
96,0,2,2
98,0,1,0
97,0,2,0
95,0,2,3
99,0,1,0
98,0,1,0
99,0,0,0
99,0,1,0
98,0,1,1
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,1
99,0,1,0
98,0,1,1
99,0,0,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
97,1,1,1
98,0,1,0
99,0,1,0
98,0,1,0
98,0,1,1
95,0,2,3
94,0,2,3
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
97,0,2,1
97,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
98,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,0
99,0,1,0
98,0,1,0
96,0,1,2
98,0,1,1
99,0,1,0
98,0,1,0
98,0,1,0
96,0,2,2
98,0,1,1
98,0,2,1
96,0,3,1
96,0,3,1
96,1,2,1
97,0,1,1
95,1,2,2
96,0,2,2
79,4,7,11
98,0,1,1
92,0,3,5
83,1,7,9
96,1,2,1
95,0,2,3
97,1,1,1
96,0,2,1
92,0,2,5
94,0,3,3
95,0,3,2
99,0,1,0
99,0,1,0
96,1,3,1
98,0,1,0
98,0,1,0
92,2,5,2
91,1,6,2
97,0,2,1
89,2,5,3
96,0,2,1
98,0,2,0
98,0,1,1
98,0,2,1
98,0,1,1
97,0,2,1
98,0,1,0
98,0,1,1
98,0,2,1
98,0,2,1
97,1,1,1
99,0,1,0
98,0,1,0
98,0,1,1
98,0,2,0
98,0,1,1
85,3,10,2
94,1,4,2
90,0,7,2
87,1,5,7
92,2,4,2
94,1,4,1
89,1,6,3
88,1,5,7
85,1,6,8
86,4,7,4
95,1,3,1
89,1,4,6
91,1,6,3
98,0,1,0
97,1,2,0
78,2,7,13
89,1,8,2
89,2,6,4
81,1,5,14
96,1,3,1
98,0,1,1
49,5,20,26
81,2,14,2
66,4,24,5
93,1,3,3
91,4,5,1
89,2,5,3
94,2,3,1
53,5,13,29
91,4,5,0
98,0,1,1
98,0,1,1
98,0,1,0
98,0,2,1
98,1,1,1
98,0,1,0
95,0,2,2
98,0,2,0
98,0,1,1
96,0,2,2
98,0,1,1
95,0,2,2
97,0,2,1
95,0,2,2
98,0,2,1
94,0,4,2
97,0,2,0
98,0,2,1
96,0,2,2
94,1,3,2
98,0,1,1
98,0,1,1
97,0,2,1
96,1,2,1
98,0,1,0
95,0,4,0
98,0,1,1
96,1,3,1
96,1,2,1
95,1,2,2
96,1,2,1
83,1,5,12
85,1,7,7
96,0,3,1
98,0,1,1
