MSOAC,MSOAHOCLN,Percentage of Households Below 60% of the Median Income; (after housing costs)
E02000001,City of London,15.5
E02000002,Marks Gate,28.1
E02000003,Chadwell Heath East,21.6
E02000004,Eastbrookend,22.2
E02000005,Becontree Heath,23.1
E02000007,Central Park & Frizlands Lane,27.3
E02000008,Becontree East,26.4
E02000009,Becontree West,26.5
E02000010,Dagenham North,28.3
E02000011,Dagenham Eastbrook,21.1
E02000012,Longbridge & Barking Park,25.6
E02000013,Becontree South,25.3
E02000014,Dagenham Central,27.7
E02000015,Old Dagenham Park & Village,32.9
E02000016,Barking Central,43
E02000017,Barking East,32.5
E02000018,Mayesbrook Park & Rippleside,29.6
E02000019,Goresbrook & Scrattons Farm,25.3
E02000020,Creekmouth & Barking Riverside,28.7
E02000021,Rylands Estate & Dagenham Dock,24.2
E02000022,Gascoigne Estate & Roding Riverside,40.7
E02000023,Thames View,33.6
E02000024,High Barnet & Hadley,13.8
E02000025,Hadley Wood,18.3
E02000026,Oak Hill,17
E02000027,Ducks Island & Underhill,22.8
E02000028,New Barnet West,16.9
E02000029,New Barnet Town & East Barnet,21
E02000030,Totteridge & Barnet Gate,15.5
E02000031,Oakleigh Park,16.2
E02000032,Osidge,20.2
E02000033,Brunswick Park Road,20.4
E02000034,Whetstone East,21.4
E02000035,Woodside Park,23.1
E02000036,Edgware East,19.8
E02000037,Edgware Park,19.6
E02000038,Friern Barnet,20.5
E02000039,Mill Hill Park,21
E02000040,Mill Hill East,22.6
E02000041,Edgware Central,24
E02000042,North Finchley,23.5
E02000043,West Finchley,16
E02000044,Mill Hill Broadway,27.6
E02000045,Colney Hatch,25.2
E02000046,Church End,23.7
E02000047,Burnt Oak & Watling Park,32.2
E02000048,Copthall & Downage,17.6
E02000049,Grahame Park,38.9
E02000050,Fallow Corner,24.5
E02000051,Finchley Central,23.4
E02000052,East Finchley,20.7
E02000053,Colindale,20.7
E02000054,North Hendon & Sunny Hill,25.5
E02000055,Hendon Central,27.5
E02000056,Hampstead Garden Suburb,15.4
E02000057,Hendon Park,26.5
E02000058,Temple Fortune,18.5
E02000059,West Hendon,30.3
E02000060,Golders Green North,27.4
E02000061,Golders Green South,24.8
E02000062,Brent Cross & Staples Corner,35.6
E02000063,North Cricklewood,29.8
E02000064,Childs Hill,32.1
E02000065,Crossway Park,24.2
E02000066,South Thamesmead,24.8
E02000067,Belvedere & Lessness Heath,22.8
E02000068,Erith East,24
E02000069,Erith West,18.2
E02000070,Lesnes Abbey,15.7
E02000071,Northumberland Heath,14.6
E02000072,Slade Green & Crayford Marshes,25.9
E02000073,Bostall,11.8
E02000074,Lesney Farm & Colyers East,20.8
E02000075,Bursted Wood,11
E02000077,St Michael's,16.1
E02000078,Barnehurst North,10.9
E02000079,Bexleyheath Broadway,12.7
E02000080,Welling,14.5
E02000081,Barnehurst South,15.7
E02000082,Falconwood,11.2
E02000083,Crayford,15.6
E02000084,Danson Park,10.5
E02000085,Blackfen,12
E02000086,Lamorbey,11.5
E02000087,Bexley Village,9.7
E02000088,Albany Park,11.1
E02000089,Longlands & Halfway,12.1
E02000090,Sidcup East,12.5
E02000091,Sidcup West,14.5
E02000092,Foots Cray Meadows,21
E02000093,Queensbury South,28
E02000094,Kingsbury East & Colindale,28.6
E02000095,Kingsbury West,27.7
E02000096,Kenton Woodcock Park,20.4
E02000097,Kingsbury South,28.6
E02000098,Barnhill The Avenue,29
E02000099,Preston Park & East Lane,28
E02000100,Northwick Park,24.4
E02000101,Forty Lane,33.7
E02000102,Welsh Harp,39.1
E02000103,Dollis Hill,31.2
E02000104,Wembley North,30
E02000105,Sudbury East,33.6
E02000106,Neasden,36.6
E02000107,Cricklewood Anson Road,34.8
E02000108,Sudbury West,31.1
E02000109,Tokyngton,32.5
E02000110,Dudden Hill,31.3
E02000111,Wembley West,32.9
E02000112,Wembley East,33.6
E02000113,St Raphaels,41.1
E02000114,Willesden Green,32.5
E02000115,Brondesbury,35.7
E02000116,Roundwood Park,43.3
E02000117,Church End,41.2
E02000118,Alperton East,34.6
E02000119,Stonebridge,44.1
E02000120,Kilburn West,32.4
E02000121,Alperton West,35.5
E02000122,Brondesbury Park,27.2
E02000123,Harlesden,38
E02000124,Queens Park,25.1
E02000125,Kensal Green,28
E02000126,Kilburn Park,41.3
E02000127,Mottingham,22
E02000128,Chislehurst North,14.4
E02000130,Penge East,19.1
E02000131,Crystal Palace Park,24.3
E02000132,New Beckenham,16.4
E02000133,Chislehurst West & Elmstead,6.7
E02000134,Bromley North & Sundridge,16.1
E02000135,Anerley North & Penge West,34.3
E02000136,Chislehurst East & Hoblingwell Wood,20.2
E02000137,Shortlands Bromley Road,11.7
E02000138,Beckenham East & Kelsey Park,10.1
E02000139,Clock House & Cator Park,13.4
E02000140,St Mary Cray North,27
E02000141,Anerley South,17.6
E02000142,Widmore,11.7
E02000144,Bromley South,13
E02000145,St Mary Cray East,23.9
E02000146,Bickley West,14.2
E02000147,Langley Park,10.7
E02000148,Bickley East,13
E02000149,St Mary Cray South,19.7
E02000150,Eden Park & Bethlem,11.9
E02000151,Petts Wood,6.9
E02000152,Bromley Common,15.8
E02000153,Hayes North,10.6
E02000154,Orpington West,14.6
E02000155,Orpington East,16.3
E02000156,West Wickham,11.3
E02000157,Crofton,10.6
E02000158,Goddington,17.2
E02000159,Keston,11.7
E02000160,Hayes South & Coney Hall,13.7
E02000161,Orpington South,9.4
E02000162,Farnborough,16.6
E02000163,Chelsfield & Green Street Green,12.6
E02000165,Biggin Hill West,11
E02000166,Highgate West,24.2
E02000167,Hampstead Town,23.8
E02000168,Tufnell Park West,27.3
E02000169,Frognal,16.9
E02000170,Fortune Green,26.3
E02000171,Mansfield Road & Park Hill Road,26.2
E02000172,Kentish Town West,36.8
E02000173,Fitzjohns & Royal Free,24.5
E02000174,Kentish Town East,34.5
E02000175,West Hampstead,28.3
E02000176,Belsize Park,23.9
E02000177,Chalk Farm,32.6
E02000178,Kilburn Grange,37.2
E02000179,Adelaide Road,27.5
E02000180,Camden Road South,38.3
E02000181,South Hampstead,23
E02000182,Swiss Cottage,26.5
E02000183,Primrose Hill,31.4
E02000184,Camden Street & Elm Village,37.4
E02000185,Kilburn East,39.4
E02000186,Camden Town & Mornington Crescent,33.3
E02000187,Somers Town,40.4
E02000188,Euston,39.8
E02000189,Gray's Inn Road,48.5
E02000190,Bloomsbury East,40.7
E02000191,Fitzrovia East & Bloomsbury West,38.7
E02000192,Hatton Garden & Theobalds Road,40.9
E02000193,"Holborn, St Giles & Bloomsbury South",35.7
E02000194,Crystal Palace Triangle,22.6
E02000195,Upper Norwood,17.4
E02000196,Norbury East,25.8
E02000197,Norbury West,23.9
E02000198,Thornton Heath North West,28.1
E02000199,Thornton Heath North East,21.5
E02000200,South Norwood Hill,23.6
E02000201,South Norwood Central,30.9
E02000202,Thornton Heath West,24.3
E02000203,Thornton Heath Central,32.7
E02000204,West Thornton North,27
E02000206,Selhurst North,28.1
E02000207,Woodside & Ashburton,25.8
E02000208,University Hospital & Queen's Road,34.8
E02000209,West Thornton South & Ampere Way,28.4
E02000210,Addiscombe North,17.4
E02000211,Monks Orchard,10.7
E02000212,Broad Green & Waddon Marsh,28.1
E02000213,Selhurst South & West Croydon,35.8
E02000214,Addiscombe East,15.2
E02000215,Addiscombe West,25.3
E02000216,Park Hill & Lloyd Park,18.3
E02000217,Croydon Minster & Waddon North,22.4
E02000218,Shirley East,20.7
E02000219,Shirley West,13.4
E02000220,Central Croydon,24.2
E02000221,Waddon South,22.1
E02000222,Croham,14.9
E02000223,New Addington North,29.6
E02000224,Purley North,18.1
E02000225,New Addington Central,19
E02000226,Selsdon,12.5
E02000227,Forestdale,12.4
E02000228,Sanderstead,10.1
E02000229,New Addington South,26
E02000230,Purley Central,15.4
E02000231,Woodcote,13.2
E02000232,Selsdon Park & Hamsey Green,16.3
E02000233,Kenley North,16.3
E02000234,Coulsdon,15.8
E02000235,Kenley South,13.7
E02000236,Woodmansterne,12.1
E02000237,Old Coulsdon,14.7
E02000238,Whitton Avenue West,26.3
E02000239,Horsenden,24.7
E02000240,Northolt West,29.7
E02000241,Northolt East,26.8
E02000242,Bilton Road,32.4
E02000243,Greenford North,27.1
E02000244,Perivale,25.6
E02000245,Northolt South,35
E02000246,Kingshill Avenue,34
E02000247,Greenford West,30.9
E02000248,Hanger Hill East,25.2
E02000249,Greenford South,27.6
E02000250,Pitshanger,15.3
E02000251,Greenford Ravenor Park,29.2
E02000252,North Acton,33.6
E02000253,Cuckoo Park,33.6
E02000254,Southall North,34.3
E02000255,Drayton Green & Cleveland,23.8
E02000256,Ealing Broadway West,25
E02000257,Ealing Broadway East,18.9
E02000258,Acton Noel Road & Lunton Road,28.5
E02000259,Brent Valley,21.4
E02000260,Southall Park,36.2
E02000261,East Acton,30
E02000262,Acton Central,34
E02000263,Southall West,43.1
E02000264,Ealing Common & Twyford Ave,25.3
E02000265,West Ealing,30
E02000266,Norwood Green North & Windmill Park,36.7
E02000267,Hanwell,22.1
E02000268,St Mary's,22.3
E02000269,Northfields,17.7
E02000270,South Acton,36
E02000271,Bedford Park,19.5
E02000272,Elthorne Park,18
E02000274,Southall Green,36.3
E02000275,Norwood Green South,35.9
E02000276,South Ealing,20.4
E02000277,Bullsmoor & Freezywater,24.6
E02000278,Turkey Street,34.3
E02000279,Enfield Lock,31.5
E02000280,Chase & Crews Hill,21.6
E02000281,Carterhatch & Forty Hall,24.4
E02000282,Enfield Wash,36.3
E02000283,Brimsdown Avenue,28.3
E02000284,Chase Side,17.7
E02000285,Enfield Town North,15.6
E02000286,Chase Farm & The Ridgeway,15.2
E02000287,Cockfosters & Hadley Wood,17.6
E02000288,Southbury East,35.3
E02000289,World's End,15.3
E02000290,Brimsdown & Ponders End,39.3
E02000291,Enfield Town South & Bush Hill Park,19.4
E02000292,Southbury West,19.8
E02000293,Grange Park,15.3
E02000294,Ponders End South,31.6
E02000295,Oakwood Park & Highlands,20.3
E02000296,Southgate,23.2
E02000297,Bury Street West & Village Road,15.8
E02000298,Winchmore Hill,17
E02000299,Lower Edmonton North,33.3
E02000300,Haslebury North,30.5
E02000301,Lower Edmonton South,35.4
E02000302,Palmers Green East,26.9
E02000303,Haslebury South,41.1
E02000304,Southgate Green,16.8
E02000305,Palmers Green West,24
E02000306,Edmonton Green,41.8
E02000307,Tatem Park,27.1
E02000308,New Southgate & Arnos Grove,25.8
E02000309,Upper Edmonton East & Meridian Water,31.6
E02000311,Bowes,31.2
E02000312,Broomfield Park,26.4
E02000313,Thamesmead Birchmere Park,30.8
E02000314,West Thamesmead,30.4
E02000315,Abbey Wood North,30
E02000316,"Woolwich Dockyard, Arsenal & Charlton Riverside",35.5
E02000317,Woolwich West,33.2
E02000318,Plumstead High Street,34.8
E02000319,Plumstead Common & Riverside,30.6
E02000320,Abbey Wood South,23
E02000321,Woolwich Glyndon,31.3
E02000323,Woolwich South,38.6
E02000324,Charlton Village,30.2
E02000326,Charlton Slopes,23.6
E02000327,Woolwich Common,31.7
E02000328,Westcombe Park & Maze Hill,24.1
E02000329,Plumstead South,20.8
E02000331,Hornfair Park,27
E02000332,Shooters Hill,17
E02000333,Blackheath Standard & Village,17.9
E02000334,Kidbrooke North,21.8
E02000335,Eltham North,14.8
E02000337,Eltham West,21.6
E02000339,Eltham Park,18.7
E02000340,Eltham South,19
E02000341,Middlepark & Horn Park,25.7
E02000342,Avery Hill,24
E02000343,Mottingham East,21.4
E02000344,New Eltham,16.1
E02000345,Stamford Hill North,34.7
E02000346,Woodberry Down & Manor House,35.5
E02000347,Stamford Hill West,32.4
E02000348,Stamford Hill South,36.2
E02000350,Stoke Newington East & Cazenove,33.7
E02000351,Brownswood,34.3
E02000352,Clissold North,32.3
E02000353,Stoke Newington North,30.6
E02000354,Hackney Downs,39.3
E02000355,Lower Clapton,33.9
E02000356,Clissold South,30.8
E02000357,Hackney Marshes,44.4
E02000358,Stoke Newington South,36.3
E02000359,Homerton North,33.2
E02000360,Amhurst Road & Pembury Estate,41.4
E02000361,Hackney Central,39.3
E02000362,Hackney Wick,39
E02000363,Homerton South,39.8
E02000364,Dalston East,34.9
E02000365,Dalston Kingsland & De Beauvoir,28.7
E02000366,South Hackney,36.4
E02000367,London Fields & Mare Street,34.4
E02000368,Haggerston East,41.5
E02000369,Haggerston West & Kingsland Basin,38.3
E02000370,Hoxton & Wenlock,37.5
E02000371,Shoreditch,37.2
E02000372,Old Oak & Wormwood,38.5
E02000373,White City,39.6
E02000374,Wormholt Road,35.2
E02000375,Shepherd's Bush North,40.4
E02000376,Shepherd's Bush West,39.2
E02000377,Askew,36.4
E02000378,Shepherd's Bush South,31
E02000379,Ravenscourt Park North,25.9
E02000380,Brackenbury,31.7
E02000381,Brook Green,28.2
E02000382,Ravenscourt Park South,31.6
E02000383,West Kensington,31.6
E02000384,Hammersmith Broadway,36.5
E02000385,Barons Court,29.4
E02000386,North End,37.6
E02000387,Lillie Road & Greyhound Road,33.8
E02000388,Fulham Broadway,27.4
E02000389,Fulham Reach,20
E02000390,Fulham Aintree,29.5
E02000391,Parsons Green East & Eel Brook Common,25.3
E02000392,Parsons Green West,26.2
E02000393,Munster,17.7
E02000394,Sands End & Chelsea Harbour,23.6
E02000395,Fulham Palace & Hurlingham Park,20.1
E02000396,South Park,24.4
E02000397,Bowes Park,35
E02000398,Northumberland Park,43.7
E02000400,Bounds Green,29.6
E02000401,Roundway,37.4
E02000402,Tottenham Bruce Castle Park,38.8
E02000403,Wood Green North,36
E02000404,Scotch Estate,37.2
E02000405,Alexandra Park,18.1
E02000406,Noel Park,38
E02000407,Bruce Grove North,41.4
E02000408,Tottenham North West,41.9
E02000409,Lordship Lane & Broadwater Farm,43
E02000410,Muswell Hill North,22
E02000411,Tottenham Lea Valley,36.4
E02000412,Wood Green South,39.2
E02000413,Fortis Green & Coldfall,20.6
E02000414,Bruce Grove South,34.1
E02000415,Downhills Park,35.5
E02000416,Hornsey East,33
E02000417,Muswell Hill South,22.9
E02000418,Hornsey West,19.7
E02000419,Harringay Ladder North,36.3
E02000420,Tottenham Green West,40.9
E02000421,Tottenham Green East,43.3
E02000422,West Green & St Ann's,36
E02000423,Harringay East,37.4
E02000424,Hornsey Vale,27.4
E02000425,South Tottenham,37.7
E02000426,Highgate Wood,21.3
E02000427,Harringay Ladder South,35.9
E02000428,Harringay Warehouse District & Vartry,40.4
E02000429,Crouch End West,20.8
E02000430,Crouch End East,24.9
E02000431,Highgate East,23.4
E02000432,Stroud Green,28.5
E02000433,Stanmore Park,19.1
E02000434,Canons Park,18.1
E02000435,Stanmore Uxbridge Road,23.6
E02000436,Hatch End North,15.4
E02000437,Harrow Weald,20.3
E02000438,Hatch End South,21.1
E02000439,Edgware West,27.2
E02000440,Belmont,19.3
E02000441,Pinner Green,18.4
E02000442,Queensbury East,30.5
E02000443,Wealdstone North,28.7
E02000444,Queensbury West,23
E02000445,Wealdstone South,27.3
E02000447,Headstone Lane,21.4
E02000448,Pinner Central,15
E02000449,Kenton East,32.8
E02000451,North Harrow,17.1
E02000452,Greenhill North,27.3
E02000453,Pinner Road,23
E02000454,Pinner South,13.9
E02000455,Greenhill South,24.6
E02000456,West Harrow,22.4
E02000457,Rayners Lane North,17.7
E02000459,South Harrow,27.6
E02000460,Newton Farm,28.2
E02000461,Harrow-on-the-Hill,17.1
E02000462,Alexandra Park,27.5
E02000463,Earlsmead,29.9
E02000464,Dagnam Park & Noak Hill,23.7
E02000465,Petersfield Avenue & Duck Wood,22.4
