Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
15.1,9,56.6,19.4
27.4,10.6,48.3,13.7
23.5,10.2,54.1,12.2
20,13.3,50.4,16.3
27,11.2,52.2,9.6
28.2,11.5,49.4,10.8
26.2,11.3,51.8,10.7
28.7,11.1,52.8,7.4
27,11,52.4,9.6
23.9,11.5,51.8,12.8
24.4,13.2,51.8,10.6
28.1,11.3,50.7,9.9
26.9,10.7,51.9,10.4
26.7,12.1,51.6,9.6
29.8,10,57,3.2
23.3,11,57.5,8.2
28.3,12.2,50.9,8.6
27.5,11.7,51.4,9.5
29,11,52.2,7.8
28.2,11.7,50.3,9.8
33.9,10.3,51.9,3.9
33.7,11.2,50.2,4.9
18.4,8.8,53.4,19.4
19.6,7.5,56.5,16.4
21,8.3,52.4,18.3
22.1,10.7,51.5,15.6
20.1,8.3,55.4,16.2
23.4,8.9,54.6,13
19,9.5,49.5,22
18.5,7.8,52.8,20.8
20.6,9.4,51.8,18.2
19.8,9.4,56,14.8
20.4,8.5,54.8,16.3
18.8,7.8,56.5,16.9
23.7,9.8,52.4,14
25.5,9.4,48.1,17
20,9.4,57.2,13.4
21.3,10.2,53,15.5
22.4,9.4,52.2,16
23.5,9.9,52.1,14.6
19.9,9,57.7,13.4
23.8,8.2,52.3,15.6
23.8,10.6,55.6,10
21.4,10,57.9,10.7
17.8,8.4,61.7,12.1
23.5,10.6,55,10.9
21.6,8.7,53.6,16.2
27.3,12,53.1,7.6
20.9,9.5,56.3,13.3
18.8,9.6,52.9,18.7
18.9,8,60.3,12.8
21.6,12.5,58.9,6.9
18,11.1,59,11.9
18.8,13.2,55.3,12.7
22.6,8,50.6,18.8
26.2,10.8,51.7,11.3
21.4,9.6,52,17
20.2,9.7,59.2,11
28.9,10.7,47.8,12.6
17.9,9.6,57.8,14.8
21.3,12.7,57,9.1
20.4,10.8,57.5,11.3
19.1,12.2,56.7,12
28.9,11.4,52,7.7
25,11,53.4,10.6
24.1,10.6,55,10.3
25.5,11.1,53.8,9.5
21,10.3,51.6,17.1
17.9,10,52.8,19.3
21,11.2,53.6,14.2
27.4,11.8,52.2,8.6
18.9,10.6,51.5,19
22.3,10.1,53.4,14.1
17,9,50.9,23.1
19.4,10.8,53.1,16.7
19.2,9.5,52.6,18.7
18.8,8.8,53.4,19
19.3,10.3,53.7,16.7
19,9,51.4,20.6
19.1,10.9,53.6,16.5
22.1,9.9,54.7,13.4
18.4,9.3,53.1,19.2
20,10.7,52.4,17
18.2,10.7,52.6,18.6
17.5,9.2,51.7,21.6
17.7,10.8,51.9,19.6
19.1,10.4,50.3,20.1
16.6,12.4,50.9,20.1
16.7,11,49.6,22.7
22.5,10.7,51.2,15.6
21.6,9.7,54.5,14.1
22,11.7,53.2,13.1
20.5,9.9,53.4,16.1
18.8,8.7,50.9,21.6
21.4,11.1,53.6,13.9
22.1,10.8,52.5,14.6
22.8,10.9,54.7,11.6
15.3,18.3,50.5,15.9
23.2,10,53.1,13.7
25.2,12.2,51.5,11.1
23.9,11.7,51.9,12.5
19.7,9.6,54.2,16.4
22.1,9.8,56.8,11.3
22.9,11.1,55.4,10.5
17.7,11.4,60.8,10.1
22.6,10,54.5,12.9
19.3,15.9,54.5,10.4
17.8,11.4,58.8,12.1
22.2,9.2,57.2,11.4
18.9,9.9,60.1,11.2
27.8,13.6,48.6,10
16.7,13.3,60.7,9.3
14.9,9.9,63.7,11.5
21.9,12,58.6,7.6
25.7,12,52.3,10.1
21.6,10.9,57.4,10.2
27.9,12.8,49.5,9.8
16.6,8.4,64.6,10.4
22,10.4,56.6,11.1
19.5,9.9,56.1,14.5
23.1,11.1,58,7.8
19.6,8.6,61.9,9.9
19.2,8.6,60.6,11.7
25,10.7,54.4,9.9
24.1,9.4,53.2,13.3
21.1,8.7,52.9,17.4
20.5,8.4,58.4,12.7
18,7.5,67.6,6.9
17,6.2,62.2,14.6
19.1,7.1,53.1,20.7
20.2,7.1,59.7,12.9
21,11.3,58.5,9.2
19.6,10,48.3,22.2
17.6,6.9,55.9,19.7
14.1,5.6,56.8,23.4
20.6,6.5,61.4,11.6
25.9,12,49.7,12.3
19.5,8.3,60.8,11.4
21.2,8.2,53.3,17.4
19.3,7.8,58.5,14.4
26.7,10.5,50.4,12.5
20.4,7.5,56.8,15.3
20.2,9.3,49.8,20.7
19.9,8.5,49.8,21.8
21.3,9.6,53.6,15.4
20.4,10.6,52.8,16.2
20.1,7.4,50.4,22.1
24.4,10.1,51.8,13.6
21.1,9.8,49.6,19.5
19.3,8.5,52.7,19.5
16.2,8.7,49.9,25.2
19,9.6,48.8,22.7
19.6,8.9,47.8,23.6
23.1,8.4,47.9,20.7
18,9.7,48.7,23.6
19.5,10.5,49.7,20.2
21.4,7.5,52.1,19
18.9,8.8,47,25.3
19.4,7.5,50.4,22.7
19.9,10.1,53.4,16.7
19.1,7.8,54.4,18.7
19.8,5.6,55.7,18.9
17.3,7.9,61.5,13.2
23.2,10.7,50.5,15.6
18.4,8.2,62,11.4
18.3,7.8,60.2,13.7
21.1,12.4,55.6,11
19.1,6.8,61.5,12.6
17,13.8,58.8,10.4
13.4,9.2,67.7,9.7
16.9,5,64.3,13.9
19,12,55.9,13
16.8,9,64.3,9.8
21.7,7.3,57.6,13.4
15.9,19.4,55.5,9.2
18,6.9,64.9,10.2
20,9.1,57.5,13.4
17.4,7.2,59.8,15.6
16,19.6,56.2,8.2
20.2,8.8,57.6,13.5
13.3,15.3,61.1,10.3
22.1,17.9,50.6,9.4
20,24.3,46.7,9
17.6,21.5,52.3,8.6
12.8,24.3,51.6,11.3
8,36.5,47.9,7.6
15.6,11.8,61.9,10.7
8.8,17.6,62.2,11.4
19.4,7.8,61.9,10.9
19.9,9.5,55.9,14.8
20.3,10.6,54.9,14.1
22.8,9.2,55,12.9
25.9,10.8,54.2,9.1
22.9,11.2,55.7,10.2
21.2,8.7,58.9,11.2
26.5,9.6,56,7.9
22.1,9.8,54.8,13.3
23.6,10.2,55,11.2
23,11.3,53.5,12.1
25.1,9.4,55.3,10.2
22.9,11.4,56.7,9
27.5,11.3,53.7,7.5
26.1,11,54.4,8.5
22.6,9.6,58.2,9.6
17,9.2,52,21.8
27.3,11,54.3,7.4
25.6,10.5,57.1,6.8
18.7,9.8,54,17.4
19.4,8.7,61,10.9
19.7,6.4,53.5,20.3
24.1,9.6,59.4,6.9
24.9,11.9,49,14.2
15.1,9.6,49.4,26
19.5,8.4,63.3,8.8
24.9,11.6,52.4,11
20,7.6,60,12.5
32.9,12.7,44.9,9.4
21.9,7.5,59.1,11.5
24,11.8,50.8,13.4
16.2,10.4,51.3,22.1
19.7,9.4,53.8,17.2
18.3,8.3,49.4,24.1
26.9,10.5,49.3,13.2
18.8,8.7,55.1,17.3
17.1,9.9,51.6,21.3
18.7,9.4,49.3,22.5
22.5,8.4,54.2,14.9
21.1,9.2,53.7,16
19,9.2,53.7,18
21.2,8.8,52.9,17.1
18.4,8.2,49.5,23.9
23.4,9.9,55.3,11.4
19.6,9.2,56.2,15
25.4,10,53.1,11.6
21.7,10,55.6,12.7
21.5,10.7,55.8,12
21.3,9.1,55.8,13.7
21.1,8.4,56.7,13.8
28.4,9.2,52.7,9.7
27,11.5,50.3,11.3
25.9,9,52.1,13
19.5,9.2,58.9,12.3
22.5,10.4,52.2,14.9
21.6,7.8,52.8,17.9
21.4,9.6,55.7,13.4
17.1,18.7,55.8,8.4
24.5,9.8,51.3,14.4
20.8,9.4,55.8,14
21.8,9.4,53.5,15.3
17.7,8.7,61.4,12.3
16.9,9.5,60.6,13
20,12.1,56.7,11.3
22.9,9.1,55.6,12.4
22.5,8.7,54.9,13.9
20.3,12.2,57.5,9.9
20.2,9.1,60.4,10.3
23.2,9,55,12.8
16.1,10.6,59.3,14
21.7,8,59.2,11.1
22.8,11.8,54.3,11.1
23.8,7.7,57.8,10.7
16.9,10.2,58.5,14.3
20.9,8.7,58.5,11.9
24.4,9.8,55.4,10.4
20.8,7.8,58.7,12.7
20.1,8.2,55.3,16.4
25.5,9.6,55.6,9.3
21.6,8.6,54.9,14.9
20.9,7.2,60.6,11.2
23.3,12.6,51.9,12.2
27.4,11.8,49.9,10.9
28,11.9,53,7.1
21.6,8.7,53.1,16.6
25,9.6,53.5,11.9
29.3,11.5,50.5,8.7
24.5,13.1,51.5,11
21.1,8.1,56.1,14.7
18.9,9.8,53.2,18.1
16.3,6.7,56.4,20.6
17.9,9.3,50.7,22.1
25.7,11.7,52.5,10.2
18.9,10,49,22.1
29,11.2,50.9,8.9
20.8,8.6,56.4,14.2
22.8,11,54,12.3
18.9,8.5,51.3,21.2
24.4,12.5,50.7,12.4
21.9,8.6,53.2,16.3
19.3,10.2,55.3,15.2
17.5,9.3,53.7,19.5
19,8.2,55.1,17.7
26.2,11.6,52.2,10
24.5,11.7,53.7,10.1
27.8,11.6,51.1,9.5
21.1,9.4,53.9,15.6
25.8,13.2,51.4,9.7
18.2,8.4,54.5,18.8
16.9,8.7,61.6,12.9
27.2,11.4,52,9.4
22.5,11.6,53.7,12.2
19.2,10,57.8,12.9
27.2,11.7,53.5,7.6
20.3,10.6,56.5,12.6
16.8,9.5,62.1,11.7
25.9,10.7,56.1,7.3
26.2,11.3,59,3.5
27.9,10.6,52.4,9.2
19.1,9.7,65.9,5.3
27.6,10.9,53.8,7.7
22.4,10,57.1,10.5
23,9.3,60.5,7.1
24.8,10.8,55,9.4
24.9,10.9,55.1,9
25.4,10.3,56.8,7.5
24.2,10.6,54,11.2
22.1,9.3,58.9,9.7
26.5,13.2,54.5,5.8
18.2,7.8,58.8,15.2
20.1,9.6,57.5,12.8
21.2,11.1,56.8,10.9
20.1,9.5,57.2,13.3
17.6,7.6,58.4,16.4
19.6,10.1,56.3,13.9
19.7,8.4,55.3,16.6
21.5,10.7,54.9,12.9
18.8,9.2,53.5,18.5
16.6,9.6,53.5,20.3
23.8,9.9,53.9,12.3
19.2,23.1,45.5,12.1
21.1,10.8,52.1,16
18.8,9.9,53.2,18.1
37.7,12.3,42.9,7.1
22.3,10.9,58.1,8.7
33.4,11.1,47.5,8
35.6,10.6,47.2,6.7
21.9,9.1,62.9,6.2
13.3,9.8,70.7,6.1
23.5,7.8,59.1,9.5
16.9,7.9,66.4,8.7
19.4,8.9,63.6,8
17.5,8.2,65.3,9
17.8,7.2,68,7
27.5,11.3,50.7,10.5
15.8,8.2,68.5,7.6
19.2,9.5,62.8,8.5
22.1,9.1,60.9,8
15.9,8.5,68.8,6.7
19.6,9.7,63.4,7.4
25.8,9.6,56.8,7.8
16.2,7.3,66.8,9.7
12.8,7.2,72.3,7.7
20.7,10,60,9.3
17.1,7.7,70.4,4.8
19.1,9.3,63.5,8.1
18,8.8,66.8,6.4
18,10.6,65.5,5.9
11.3,21.1,63.4,4.2
19.1,13.7,58.1,9.2
26.1,12.3,53.1,8.6
20.4,11.6,56.8,11.2
19.8,8.8,61.4,9.9
15.4,9.6,66.6,8.3
18.2,10.7,60.8,10.4
15.6,8.3,66,10.1
19.9,8.1,58.5,13.4
20.5,11.4,56.8,11.2
20,10.5,59.8,9.8
18,7.8,64,10.1
11.4,13.2,62.3,13.2
16.2,11,60.5,12.3
9.9,12.7,70,7.3
17.1,13.7,59.8,9.3
14.5,14.3,61.4,9.8
15.3,10.3,62.8,11.6
17.3,13.1,56.6,12.9
17.9,12.1,60.7,9.4
18.8,9.2,60.4,11.7
19.4,10.5,61.3,8.8
18.3,9.2,62.4,10.1
19,10.5,61.1,9.4
17,9.5,58.3,15.2
23.1,9,57.1,10.8
19,9.4,62.8,8.9
26.1,12,53.8,8.2
21,10.7,57.4,10.9
23.2,13.8,53.4,9.6
23.3,12.5,55.6,8.6
16.8,9.2,65.6,8.4
20.4,10.9,58.8,9.9
22.9,7.7,57.2,12.1
18.9,10.9,61.4,8.8
21.6,12.1,57.3,8.9
22.3,16.9,52.1,8.7
21.5,12.4,55.1,11.1
20.4,9.2,58.4,12
19.9,18.3,55,6.8
17.5,11.6,62.2,8.7
